Wavelength (AA)	Flux (erg s-1 cm-2 A-1)
4673.673673673674	8.560188748000405e-17
4681.681681681682	8.381400761975247e-17
4689.68968968969	8.740746713148952e-17
4697.697697697698	9.015172775200059e-17
4705.705705705706	8.046271112165079e-17
4713.713713713714	9.241531511307967e-17
4721.721721721722	9.314501864345825e-17
4729.72972972973	9.365256619650204e-17
4737.737737737738	7.463414212366111e-17
4745.745745745746	8.997081707445767e-17
4753.753753753754	9.880949466552454e-17
4761.761761761762	9.143480471016848e-17
4769.7697697697695	8.892628789891193e-17
4777.777777777777	9.777301114283276e-17
4785.785785785786	8.322073966984835e-17
4793.793793793794	9.109784210695986e-17
4801.801801801802	9.123002309111242e-17
4809.80980980981	8.476831518074889e-17
4817.817817817818	7.318002775202954e-17
4825.8258258258265	6.350393153898819e-17
4833.833833833834	9.003121546392635e-17
4841.841841841842	1.0933168849422641e-16
4849.84984984985	9.90679444151106e-17
4857.857857857858	1.1172280235979184e-16
4865.865865865866	9.72291995769084e-17
4873.873873873874	1.1068792901850236e-16
4881.881881881882	1.0924388208484841e-16
4889.88988988989	1.1989577003467848e-16
4897.897897897898	1.1093060963028341e-16
4905.905905905906	1.04190195837469e-16
4913.913913913914	8.804748870393477e-17
4921.921921921922	1.050605460020342e-16
4929.92992992993	1.106650428715922e-16
4937.937937937938	9.953310017640666e-17
4945.945945945946	1.134010282336564e-16
4953.953953953955	1.176927003699969e-16
4961.9619619619625	1.1566322379799573e-16
4969.96996996997	1.134654959947342e-16
4977.977977977978	1.200740460265403e-16
4985.985985985986	1.2508182351986661e-16
4993.993993993994	1.077160691505915e-16
5002.002002002002	1.130295839299592e-16
5010.01001001001	1.2423291410893819e-16
5018.018018018018	1.309487818563094e-16
5026.026026026026	1.2969526840065394e-16
5034.034034034034	1.2497877099174707e-16
5042.042042042042	1.3197665008620323e-16
5050.05005005005	1.4347531733797033e-16
5058.058058058058	1.3669113919078385e-16
5066.066066066067	1.3502688867738492e-16
5074.074074074075	1.1663779590684677e-16
5082.082082082083	1.222909168291237e-16
5090.090090090091	1.3153020696458275e-16
5098.0980980980985	1.2814057414163667e-16
5106.106106106106	1.3428336151151907e-16
5114.114114114114	1.375399648692083e-16
5122.122122122122	1.383318447139392e-16
5130.13013013013	1.3527465396818732e-16
5138.138138138138	1.3213393274521738e-16
5146.146146146146	1.340407847089512e-16
5154.154154154154	1.309766953566761e-16
5162.1621621621625	1.3863683682899725e-16
5170.17017017017	1.4403685858427084e-16
5178.178178178178	1.4481518300320452e-16
5186.186186186186	1.4403083858695982e-16
5194.194194194195	1.3787347487070622e-16
5202.202202202203	1.3188233996669748e-16
5210.210210210211	1.294535007921246e-16
5218.218218218219	1.3864258887209986e-16
5226.226226226227	1.340158059106914e-16
5234.2342342342345	1.294773928601242e-16
5242.242242242242	1.3535267815906514e-16
5250.25025025025	1.3481760189158874e-16
5258.258258258258	1.3586620426239008e-16
5266.266266266266	1.3153766554197684e-16
5274.274274274274	1.2968006262789038e-16
5282.282282282282	1.3579500066306184e-16
5290.290290290291	1.4628200757744658e-16
5298.2982982982985	1.358626795821232e-16
5306.306306306306	1.371222248956769e-16
5314.314314314315	1.4284294360327548e-16
5322.322322322323	1.44925147863721e-16
5330.330330330331	1.4007374200457316e-16
5338.338338338339	1.3431345067598398e-16
5346.346346346347	1.3957380232767863e-16
5354.354354354355	1.4506818670351832e-16
5362.362362362363	1.379795361998086e-16
5370.37037037037	1.4446435741765605e-16
5378.378378378378	1.4629574902179858e-16
5386.386386386386	1.4398874021214435e-16
5394.394394394394	1.4706584224306736e-16
5402.402402402402	1.4828289766723303e-16
5410.410410410411	1.429824855203041e-16
5418.418418418419	1.4298886116190908e-16
5426.426426426427	1.4159638528062838e-16
5434.4344344344345	1.4339275864855677e-16
5442.442442442443	1.301683648725438e-16
5450.450450450451	1.2316060816673513e-16
5458.458458458459	1.2977985572105186e-16
5466.466466466467	1.3958977826061173e-16
5474.474474474475	1.3470454360827753e-16
5482.482482482483	1.3850763587811025e-16
5490.490490490491	1.5039169257709822e-16
5498.4984984984985	1.4589057667392548e-16
5506.506506506506	1.4257114230138386e-16
5514.514514514514	1.3006424301823442e-16
5522.522522522522	1.4692365021143978e-16
5530.53053053053	1.4160565088352953e-16
5538.538538538539	1.457971622002276e-16
5546.546546546547	1.5381853405140972e-16
5554.554554554555	1.3987607174287767e-16
5562.562562562563	1.440004791856462e-16
5570.570570570571	1.4547176628801684e-16
5578.578578578579	1.4070081671977574e-16
5586.586586586587	1.3302711931962035e-16
5594.594594594595	1.4142474326822783e-16
5602.602602602603	1.363181489474388e-16
5610.610610610611	1.2955510770043543e-16
5618.618618618619	1.2719748527474668e-16
